fields,id,source
"{'id': ['CM000664.2_10445264_10445145'], 'description': ['Homo sapiens ODC_IRES'], 'rna_type': ['Cis-reg', 'IRES'], 'entry_type': ['Sequence'], 'rfamseq_acc': ['CM000664.2'], 'rfamseq_acc_description': ['Homo sapiens chromosome 2, GRCh38 reference primary assembly.'], 'scientific_name': ['Homo sapiens'], 'num_seed': [], 'seq_start': ['10445264'], 'seq_end': ['10445145'], 'ENA': ['CM000664'], 'RFAM': ['RF02535']}",CM000664.2_10445264_10445145,rfam
"{'id': ['CM000668.2_121435649_121435848'], 'description': ['Homo sapiens IRES_Cx43'], 'rna_type': ['Cis-reg', 'IRES'], 'entry_type': ['Sequence'], 'rfamseq_acc': ['CM000668.2'], 'rfamseq_acc_description': ['Homo sapiens chromosome 6, GRCh38 reference primary assembly.'], 'scientific_name': ['Homo sapiens'], 'num_seed': [], 'seq_start': ['121435649'], 'seq_end': ['121435848'], 'ENA': ['CM000668'], 'RFAM': ['RF00487']}",CM000668.2_121435649_121435848,rfam
"{'id': ['CM000668.2_43770953_43771261'], 'description': ['Homo sapiens IRES_VEGF_A'], 'rna_type': ['Cis-reg', 'IRES'], 'entry_type': ['Sequence'], 'rfamseq_acc': ['CM000668.2'], 'rfamseq_acc_description': ['Homo sapiens chromosome 6, GRCh38 reference primary assembly.'], 'scientific_name': ['Homo sapiens'], 'num_seed': [], 'seq_start': ['43770953'], 'seq_end': ['43771261'], 'ENA': ['CM000668'], 'RFAM': ['RF00461']}",CM000668.2_43770953_43771261,rfam
"{'id': ['CM000671.2_125241341_125241094'], 'description': ['Homo sapiens IRES_Bip'], 'rna_type': ['Cis-reg', 'IRES'], 'entry_type': ['Sequence'], 'rfamseq_acc': ['CM000671.2'], 'rfamseq_acc_description': ['Homo sapiens chromosome 9, GRCh38 reference primary assembly.'], 'scientific_name': ['Homo sapiens'], 'num_seed': [], 'seq_start': ['125241341'], 'seq_end': ['125241094'], 'ENA': ['CM000671'], 'RFAM': ['RF00223']}",CM000671.2_125241341_125241094,rfam
"{'id': ['CM000671.2_33264696_33264327'], 'description': ['Homo sapiens IRES_Bag1'], 'rna_type': ['Cis-reg', 'IRES'], 'entry_type': ['Sequence'], 'rfamseq_acc': ['CM000671.2'], 'rfamseq_acc_description': ['Homo sapiens chromosome 9, GRCh38 reference primary assembly.'], 'scientific_name': ['Homo sapiens'], 'num_seed': [], 'seq_start': ['33264696'], 'seq_end': ['33264327'], 'ENA': ['CM000671'], 'RFAM': ['RF00222']}",CM000671.2_33264696_33264327,rfam
"{'id': ['CM000671.2_84670396_84670748'], 'description': ['Homo sapiens IRES_TrkB'], 'rna_type': ['Cis-reg', 'IRES'], 'entry_type': ['Sequence'], 'rfamseq_acc': ['CM000671.2'], 'rfamseq_acc_description': ['Homo sapiens chromosome 9, GRCh38 reference primary assembly.'], 'scientific_name': ['Homo sapiens'], 'num_seed': [], 'seq_start': ['84670396'], 'seq_end': ['84670748'], 'ENA': ['CM000671'], 'RFAM': ['RF00547']}",CM000671.2_84670396_84670748,rfam
"{'id': ['CM000673.2_30012935_30012676'], 'description': ['Homo sapiens IRES_Kv1_4'], 'rna_type': ['Cis-reg', 'IRES'], 'entry_type': ['Sequence'], 'rfamseq_acc': ['CM000673.2'], 'rfamseq_acc_description': ['Homo sapiens chromosome 11, GRCh38 reference primary assembly.'], 'scientific_name': ['Homo sapiens'], 'num_seed': [], 'seq_start': ['30012935'], 'seq_end': ['30012676'], 'ENA': ['CM000673'], 'RFAM': ['RF00447']}",CM000673.2_30012935_30012676,rfam
"{'id': ['CM000682.2_54173977_54173577'], 'description': ['Homo sapiens IRES_cyp24a1'], 'rna_type': ['Cis-reg', 'IRES'], 'entry_type': ['Sequence'], 'rfamseq_acc': ['CM000682.2'], 'rfamseq_acc_description': ['Homo sapiens chromosome 20, GRCh38 reference primary assembly.'], 'scientific_name': ['Homo sapiens'], 'num_seed': [], 'seq_start': ['54173977'], 'seq_end': ['54173577'], 'ENA': ['CM000682'], 'RFAM': ['RF02664']}",CM000682.2_54173977_54173577,rfam
"{'id': ['GL000250.2_3148163_3148382'], 'description': ['Homo sapiens IRES_Hsp70'], 'rna_type': ['Cis-reg', 'IRES'], 'entry_type': ['Sequence'], 'rfamseq_acc': ['GL000250.2'], 'rfamseq_acc_description': ['Homo sapiens chromosome 6 genomic contig, GRCh38 reference assembly alternate locus group ALT_REF_LOCI_1.'], 'scientific_name': ['Homo sapiens'], 'num_seed': [], 'seq_start': ['3148163'], 'seq_end': ['3148382'], 'ENA': ['GL000250'], 'RFAM': ['RF00495']}",GL000250.2_3148163_3148382,rfam
"{'id': ['GL000250.2_3160362_3160579'], 'description': ['Homo sapiens IRES_Hsp70'], 'rna_type': ['Cis-reg', 'IRES'], 'entry_type': ['Sequence'], 'rfamseq_acc': ['GL000250.2'], 'rfamseq_acc_description': ['Homo sapiens chromosome 6 genomic contig, GRCh38 reference assembly alternate locus group ALT_REF_LOCI_1.'], 'scientific_name': ['Homo sapiens'], 'num_seed': [], 'seq_start': ['3160362'], 'seq_end': ['3160579'], 'ENA': ['GL000250'], 'RFAM': ['RF00495']}",GL000250.2_3160362_3160579,rfam
"{'id': ['CM000668.2_31815541_31815760'], 'description': ['Homo sapiens IRES_Hsp70'], 'rna_type': ['Cis-reg', 'IRES'], 'entry_type': ['Sequence'], 'rfamseq_acc': ['CM000668.2'], 'rfamseq_acc_description': ['Homo sapiens chromosome 6, GRCh38 reference primary assembly.'], 'scientific_name': ['Homo sapiens'], 'num_seed': [], 'seq_start': ['31815541'], 'seq_end': ['31815760'], 'ENA': ['CM000668'], 'RFAM': ['RF00495']}",CM000668.2_31815541_31815760,rfam
"{'id': ['CM000668.2_31827737_31827954'], 'description': ['Homo sapiens IRES_Hsp70'], 'rna_type': ['Cis-reg', 'IRES'], 'entry_type': ['Sequence'], 'rfamseq_acc': ['CM000668.2'], 'rfamseq_acc_description': ['Homo sapiens chromosome 6, GRCh38 reference primary assembly.'], 'scientific_name': ['Homo sapiens'], 'num_seed': [], 'seq_start': ['31827737'], 'seq_end': ['31827954'], 'ENA': ['CM000668'], 'RFAM': ['RF00495']}",CM000668.2_31827737_31827954,rfam
"{'id': ['CM000685.2_71223206_71223356'], 'description': ['Homo sapiens IRES_Cx32'], 'rna_type': ['Cis-reg', 'IRES'], 'entry_type': ['Sequence'], 'rfamseq_acc': ['CM000685.2'], 'rfamseq_acc_description': ['Homo sapiens chromosome X, GRCh38 reference primary assembly.'], 'scientific_name': ['Homo sapiens'], 'num_seed': [], 'seq_start': ['71223206'], 'seq_end': ['71223356'], 'ENA': ['CM000685'], 'RFAM': ['RF00484']}",CM000685.2_71223206_71223356,rfam
"{'id': ['CM000684.2_39244768_39244141'], 'description': ['Homo sapiens IRES_c-sis'], 'rna_type': ['Cis-reg', 'IRES'], 'entry_type': ['Sequence'], 'rfamseq_acc': ['CM000684.2'], 'rfamseq_acc_description': ['Homo sapiens chromosome 22, GRCh38 reference primary assembly.'], 'scientific_name': ['Homo sapiens'], 'num_seed': [], 'seq_start': ['39244768'], 'seq_end': ['39244141'], 'ENA': ['CM000684'], 'RFAM': ['RF00549']}",CM000684.2_39244768_39244141,rfam
"{'id': ['GL000251.2_3292792_3293011'], 'description': ['Homo sapiens IRES_Hsp70'], 'rna_type': ['Cis-reg', 'IRES'], 'entry_type': ['Sequence'], 'rfamseq_acc': ['GL000251.2'], 'rfamseq_acc_description': ['Homo sapiens chromosome 6 genomic contig, GRCh38 reference assembly alternate locus group ALT_REF_LOCI_2.'], 'scientific_name': ['Homo sapiens'], 'num_seed': [], 'seq_start': ['3292792'], 'seq_end': ['3293011'], 'ENA': ['GL000251'], 'RFAM': ['RF00495']}",GL000251.2_3292792_3293011,rfam
"{'id': ['GL000251.2_3304990_3305207'], 'description': ['Homo sapiens IRES_Hsp70'], 'rna_type': ['Cis-reg', 'IRES'], 'entry_type': ['Sequence'], 'rfamseq_acc': ['GL000251.2'], 'rfamseq_acc_description': ['Homo sapiens chromosome 6 genomic contig, GRCh38 reference assembly alternate locus group ALT_REF_LOCI_2.'], 'scientific_name': ['Homo sapiens'], 'num_seed': [], 'seq_start': ['3304990'], 'seq_end': ['3305207'], 'ENA': ['GL000251'], 'RFAM': ['RF00495']}",GL000251.2_3304990_3305207,rfam
"{'id': ['CM000666.2_122826680_122827177'], 'description': ['Homo sapiens IRES_FGF2'], 'rna_type': ['Cis-reg', 'IRES'], 'entry_type': ['Sequence'], 'rfamseq_acc': ['CM000666.2'], 'rfamseq_acc_description': ['Homo sapiens chromosome 4, GRCh38 reference primary assembly.'], 'scientific_name': ['Homo sapiens'], 'num_seed': [], 'seq_start': ['122826680'], 'seq_end': ['122827177'], 'ENA': ['CM000666'], 'RFAM': ['RF00224']}",CM000666.2_122826680_122827177,rfam
"{'id': ['CM000685.2_38479154_38479285'], 'description': ['Homo sapiens IRES_Bag1'], 'rna_type': ['Cis-reg', 'IRES'], 'entry_type': ['Sequence'], 'rfamseq_acc': ['CM000685.2'], 'rfamseq_acc_description': ['Homo sapiens chromosome X, GRCh38 reference primary assembly.'], 'scientific_name': ['Homo sapiens'], 'num_seed': [], 'seq_start': ['38479154'], 'seq_end': ['38479285'], 'ENA': ['CM000685'], 'RFAM': ['RF00222']}",CM000685.2_38479154_38479285,rfam
"{'id': ['CM000664.2_15941768_15942091'], 'description': ['Homo sapiens IRES_n-myc'], 'rna_type': ['Cis-reg', 'IRES'], 'entry_type': ['Sequence'], 'rfamseq_acc': ['CM000664.2'], 'rfamseq_acc_description': ['Homo sapiens chromosome 2, GRCh38 reference primary assembly.'], 'scientific_name': ['Homo sapiens'], 'num_seed': [], 'seq_start': ['15941768'], 'seq_end': ['15942091'], 'ENA': ['CM000664'], 'RFAM': ['RF00226']}",CM000664.2_15941768_15942091,rfam
"{'id': ['CM000664.2_15940568_15940760'], 'description': ['Homo sapiens IRES_n-myc'], 'rna_type': ['Cis-reg', 'IRES'], 'entry_type': ['Sequence'], 'rfamseq_acc': ['CM000664.2'], 'rfamseq_acc_description': ['Homo sapiens chromosome 2, GRCh38 reference primary assembly.'], 'scientific_name': ['Homo sapiens'], 'num_seed': [], 'seq_start': ['15940568'], 'seq_end': ['15940760'], 'ENA': ['CM000664'], 'RFAM': ['RF00226']}",CM000664.2_15940568_15940760,rfam
"{'id': ['CM000666.2_164188235_164188416'], 'description': ['Homo sapiens IRES_Bip'], 'rna_type': ['Cis-reg', 'IRES'], 'entry_type': ['Sequence'], 'rfamseq_acc': ['CM000666.2'], 'rfamseq_acc_description': ['Homo sapiens chromosome 4, GRCh38 reference primary assembly.'], 'scientific_name': ['Homo sapiens'], 'num_seed': [], 'seq_start': ['164188235'], 'seq_end': ['164188416'], 'ENA': ['CM000666'], 'RFAM': ['RF00223']}",CM000666.2_164188235_164188416,rfam
"{'id': ['GL000252.2_3063320_3063539'], 'description': ['Homo sapiens IRES_Hsp70'], 'rna_type': ['Cis-reg', 'IRES'], 'entry_type': ['Sequence'], 'rfamseq_acc': ['GL000252.2'], 'rfamseq_acc_description': ['Homo sapiens chromosome 6 genomic contig, GRCh38 reference assembly alternate locus group ALT_REF_LOCI_3.'], 'scientific_name': ['Homo sapiens'], 'num_seed': [], 'seq_start': ['3063320'], 'seq_end': ['3063539'], 'ENA': ['GL000252'], 'RFAM': ['RF00495']}",GL000252.2_3063320_3063539,rfam
"{'id': ['GL000252.2_3075516_3075733'], 'description': ['Homo sapiens IRES_Hsp70'], 'rna_type': ['Cis-reg', 'IRES'], 'entry_type': ['Sequence'], 'rfamseq_acc': ['GL000252.2'], 'rfamseq_acc_description': ['Homo sapiens chromosome 6 genomic contig, GRCh38 reference assembly alternate locus group ALT_REF_LOCI_3.'], 'scientific_name': ['Homo sapiens'], 'num_seed': [], 'seq_start': ['3075516'], 'seq_end': ['3075733'], 'ENA': ['GL000252'], 'RFAM': ['RF00495']}",GL000252.2_3075516_3075733,rfam
"{'id': ['CM000669.2_129028750_129028891'], 'description': ['Homo sapiens ODC_IRES'], 'rna_type': ['Cis-reg', 'IRES'], 'entry_type': ['Sequence'], 'rfamseq_acc': ['CM000669.2'], 'rfamseq_acc_description': ['Homo sapiens chromosome 7, GRCh38 reference primary assembly.'], 'scientific_name': ['Homo sapiens'], 'num_seed': [], 'seq_start': ['129028750'], 'seq_end': ['129028891'], 'ENA': ['CM000669'], 'RFAM': ['RF02535']}",CM000669.2_129028750_129028891,rfam
"{'id': ['CM000670.2_127736244_127736545'], 'description': ['Homo sapiens IRES_c-myc'], 'rna_type': ['Cis-reg', 'IRES'], 'entry_type': ['Sequence'], 'rfamseq_acc': ['CM000670.2'], 'rfamseq_acc_description': ['Homo sapiens chromosome 8, GRCh38 reference primary assembly.'], 'scientific_name': ['Homo sapiens'], 'num_seed': [], 'seq_start': ['127736244'], 'seq_end': ['127736545'], 'ENA': ['CM000670'], 'RFAM': ['RF00216']}",CM000670.2_127736244_127736545,rfam
"{'id': ['CM000667.2_109052656_109052458'], 'description': ['Homo sapiens IRES_Cx43'], 'rna_type': ['Cis-reg', 'IRES'], 'entry_type': ['Sequence'], 'rfamseq_acc': ['CM000667.2'], 'rfamseq_acc_description': ['Homo sapiens chromosome 5, GRCh38 reference primary assembly.'], 'scientific_name': ['Homo sapiens'], 'num_seed': [], 'seq_start': ['109052656'], 'seq_end': ['109052458'], 'ENA': ['CM000667'], 'RFAM': ['RF00487']}",CM000667.2_109052656_109052458,rfam
"{'id': ['CM000663.2_39902015_39901795'], 'description': ['Homo sapiens IRES_L-myc'], 'rna_type': ['Cis-reg', 'IRES'], 'entry_type': ['Sequence'], 'rfamseq_acc': ['CM000663.2'], 'rfamseq_acc_description': ['Homo sapiens chromosome 1, GRCh38 reference primary assembly.'], 'scientific_name': ['Homo sapiens'], 'num_seed': [], 'seq_start': ['39902015'], 'seq_end': ['39901795'], 'ENA': ['CM000663'], 'RFAM': ['RF00261']}",CM000663.2_39902015_39901795,rfam
"{'id': ['CM000667.2_142697800_142697634'], 'description': ['Homo sapiens IRES_FGF1'], 'rna_type': ['Cis-reg', 'IRES'], 'entry_type': ['Sequence'], 'rfamseq_acc': ['CM000667.2'], 'rfamseq_acc_description': ['Homo sapiens chromosome 5, GRCh38 reference primary assembly.'], 'scientific_name': ['Homo sapiens'], 'num_seed': [], 'seq_start': ['142697800'], 'seq_end': ['142697634'], 'ENA': ['CM000667'], 'RFAM': ['RF00387']}",CM000667.2_142697800_142697634,rfam
"{'id': ['CM000676.2_61695528_61695807'], 'description': ['Homo sapiens IRES_HIF1'], 'rna_type': ['Cis-reg', 'IRES'], 'entry_type': ['Sequence'], 'rfamseq_acc': ['CM000676.2'], 'rfamseq_acc_description': ['Homo sapiens chromosome 14, GRCh38 reference primary assembly.'], 'scientific_name': ['Homo sapiens'], 'num_seed': [], 'seq_start': ['61695528'], 'seq_end': ['61695807'], 'ENA': ['CM000676'], 'RFAM': ['RF00449']}",CM000676.2_61695528_61695807,rfam
"{'id': ['CM000679.2_2400912_2400710'], 'description': ['Homo sapiens IRES_mnt'], 'rna_type': ['Cis-reg', 'IRES'], 'entry_type': ['Sequence'], 'rfamseq_acc': ['CM000679.2'], 'rfamseq_acc_description': ['Homo sapiens chromosome 17, GRCh38 reference primary assembly.'], 'scientific_name': ['Homo sapiens'], 'num_seed': [], 'seq_start': ['2400912'], 'seq_end': ['2400710'], 'ENA': ['CM000679'], 'RFAM': ['RF00457']}",CM000679.2_2400912_2400710,rfam
"{'id': ['CM000685.2_18534867_18535067'], 'description': ['Homo sapiens IRES_Cx43'], 'rna_type': ['Cis-reg', 'IRES'], 'entry_type': ['Sequence'], 'rfamseq_acc': ['CM000685.2'], 'rfamseq_acc_description': ['Homo sapiens chromosome X, GRCh38 reference primary assembly.'], 'scientific_name': ['Homo sapiens'], 'num_seed': [], 'seq_start': ['18534867'], 'seq_end': ['18535067'], 'ENA': ['CM000685'], 'RFAM': ['RF00487']}",CM000685.2_18534867_18535067,rfam
"{'id': ['GL000255.2_3083569_3083786'], 'description': ['Homo sapiens IRES_Hsp70'], 'rna_type': ['Cis-reg', 'IRES'], 'entry_type': ['Sequence'], 'rfamseq_acc': ['GL000255.2'], 'rfamseq_acc_description': ['Homo sapiens chromosome 6 genomic contig, GRCh38 reference assembly alternate locus group ALT_REF_LOCI_6.'], 'scientific_name': ['Homo sapiens'], 'num_seed': [], 'seq_start': ['3083569'], 'seq_end': ['3083786'], 'ENA': ['GL000255'], 'RFAM': ['RF00495']}",GL000255.2_3083569_3083786,rfam
"{'id': ['CM000663.2_38708708_38708962'], 'description': ['Homo sapiens IRES_Bip'], 'rna_type': ['Cis-reg', 'IRES'], 'entry_type': ['Sequence'], 'rfamseq_acc': ['CM000663.2'], 'rfamseq_acc_description': ['Homo sapiens chromosome 1, GRCh38 reference primary assembly.'], 'scientific_name': ['Homo sapiens'], 'num_seed': [], 'seq_start': ['38708708'], 'seq_end': ['38708962'], 'ENA': ['CM000663'], 'RFAM': ['RF00223']}",CM000663.2_38708708_38708962,rfam
"{'id': ['CM000664.2_177264659_177264532'], 'description': ['Homo sapiens NRF2_IRES'], 'rna_type': ['Cis-reg', 'IRES'], 'entry_type': ['Sequence'], 'rfamseq_acc': ['CM000664.2'], 'rfamseq_acc_description': ['Homo sapiens chromosome 2, GRCh38 reference primary assembly.'], 'scientific_name': ['Homo sapiens'], 'num_seed': [], 'seq_start': ['177264659'], 'seq_end': ['177264532'], 'ENA': ['CM000664'], 'RFAM': ['RF02531']}",CM000664.2_177264659_177264532,rfam
"{'id': ['GL000255.2_3071369_3071588'], 'description': ['Homo sapiens IRES_Hsp70'], 'rna_type': ['Cis-reg', 'IRES'], 'entry_type': ['Sequence'], 'rfamseq_acc': ['GL000255.2'], 'rfamseq_acc_description': ['Homo sapiens chromosome 6 genomic contig, GRCh38 reference assembly alternate locus group ALT_REF_LOCI_6.'], 'scientific_name': ['Homo sapiens'], 'num_seed': [], 'seq_start': ['3071369'], 'seq_end': ['3071588'], 'ENA': ['GL000255'], 'RFAM': ['RF00495']}",GL000255.2_3071369_3071588,rfam
"{'id': ['CM000673.2_2141059_2140939'], 'description': ['Homo sapiens IRES_IGF2'], 'rna_type': ['Cis-reg', 'IRES'], 'entry_type': ['Sequence'], 'rfamseq_acc': ['CM000673.2'], 'rfamseq_acc_description': ['Homo sapiens chromosome 11, GRCh38 reference primary assembly.'], 'scientific_name': ['Homo sapiens'], 'num_seed': [], 'seq_start': ['2141059'], 'seq_end': ['2140939'], 'ENA': ['CM000673'], 'RFAM': ['RF00483']}",CM000673.2_2141059_2140939,rfam
